
Barkhad Abdi

Elizabeth Hartman

Laurence Harvey

Anne Hathaway

Ethan Hawke


Sally Hawkins

Goldie Hawn

Nigel Hawthorne

Sessue Hayakawa

Salma Hayek

Helen Hayes

Susan Hayward

Eileen Heckart

Lucas Hedges

Van Heflin

Mariel Hemingway

Justin Henry


Audrey Hepburn

Katharine Hepburn

Barbara Hershey

Charlton Heston


Jonah Hill

Wendy Hiller

Judd Hirsch

Dustin Hoffman

Philip Seymour Hoffman

Hal Holbrook

William Holden

Judy Holliday

Stanley Holloway

Celeste Holm

Ian Holm

Oskar Homolka

Anthony Hopkins

Miriam Hopkins

Dennis Hopper

Bob Hoskins

Djimon Hounsou

John Houseman


Terrence Howard

Trevor Howard

Jennifer Hudson

Kate Hudson

Rock Hudson

Felicity Huffman

Tom Hulce

Josephine Hull

Arthur Hunnicutt

Helen Hunt

Linda Hunt

Holly Hunter

Kim Hunter

Isabelle Huppert

John Hurt

William Hurt

Ruth Hussey

Anjelica Huston

John Huston

Walter Huston

Timothy Hutton

Martha Hyer


Jeremy Irons

Amy Irving

Burl Ives

Hugh Jackman

Glenda Jackson


Richard Jaeckel

Sam Jaffe

Dean Jagger


Emil Jannings


Richard Jenkins

Glynis Johns


Celia Johnson

Angelina Jolie

Carolyn Jones

Felicity Jones

James Earl Jones

Jennifer Jones

Shirley Jones

Tommy Lee Jones

Katy Jurado

Madeline Kahn

Daniel Kaluuya


Carol Kane

Diane Keaton

Michael Keaton

Lila Kedrova

Catherine Keener

Harvey Keitel

Cecil Kellaway

Sally Kellerman

Gene Kelly

Grace Kelly

Nancy Kelly

Anna Kendrick

Arthur Kennedy

George Kennedy

Deborah Kerr

Nicole Kidman

Rinko Kikuchi

Ben Kingsley

Greg Kinnear

Sally Kirkland

Kevin Kline

Shirley Knight

Keira Knightley

Alexander Knox

Susan Kohner

Miliza Korjus

Jack Kruschen

Diane Ladd

Jocelyne LaGarde

Christine Lahti

Burt Lancaster

