Abigail Breslin
Adolph Caesar
Adolphe Menjou
Adriana Barraza
Adrien Brody
Agnes Moorehead
Akim Tamiroff
Al Pacino
Alan Alda
Alan Arkin
Alan Bates
Albert Bassermann
Albert Brooks
Albert Finney
Alec Baldwin
Alec Guinness
Alexander Knox
Alfre Woodard
Alfred Lunt
Ali MacGraw
Alice Brady
Alicia Vikander
Aline MacMahon
Amy Adams
Amy Irving
Amy Madigan
Amy Ryan
Andrea Leeds
Andrew Garfield
Angela Bassett
Angela Lansbury
Angelina Jolie
Anjelica Huston
Ann Blyth
Ann Harding
Ann Sothern
Anna Kendrick
Anna Magnani
Anna Paquin
Anne Archer
Anne Bancroft
Anne Baxter
Anne Hathaway
Anne Ramsey
Anne Revere
Annette Bening
Anthony Franciosa
Anthony Hopkins
Anthony Perkins
Anthony Quayle
Anthony Quinn
Art Carney
Arthur Hunnicutt
Arthur Kennedy
Audrey Hepburn
Ava Gardner
Barbara Barrie
Barbara Bel Geddes
Barbara Hershey
Barbara Stanwyck
Barbra Streisand
Barkhad Abdi
Barry Fitzgerald
Basil Rathbone
Beah Richards
Beatrice Straight
Ben Kingsley
Benedict Cumberbatch
Benicio del Toro
Bessie Love
Betsy Blair
Bette Davis
Bette Midler
Betty Compson
Beulah Bondi
Bill Murray
Billie Burke
Billy Bob Thornton
Bing Crosby
Bob Hoskins
Bobby Darin
Bonita Granville
Brad Dourif
Brad Pitt
Bradley Cooper
Brandon deWilde
Brenda Blethyn
Brenda Fricker
Brenda Vaccaro
Brian Aherne
Brian Donlevy
Brie Larson
Broderick Crawford
Bruce Davison
Bruce Dern
Bryan Cranston
Burgess Meredith
Burl Ives
Burt Lancaster
Burt Reynolds
Burt Young
Candice Bergen
Candy Clark
Cara Williams
Carey Mulligan
Carol Channing
Carol Kane
Carole Lombard
Carolyn Jones
Carrie Snodgress
Carroll Baker
Cary Grant
Casey Affleck
Catalina Sandino Moreno
Cate Blanchett
Catherine Burns
Catherine Deneuve
Catherine Keener
Cathy Moriarty
Cecil Kellaway
Celeste Holm
Celia Johnson
Charles Bickford
Charles Boyer
Charles Coburn
Charles Durning
Charles Laughton
Charlie Chaplin
Charlize Theron
Charlotte Rampling
Charlton Heston
Chazz Palminteri
Cher
Chester Morris
Chief Dan George
Chill Wills
Chiwetel Ejiofor
Chris Cooper
Chris Sarandon
Christian Bale
Christine Lahti
Christoph Waltz
Christopher Plummer
Christopher Walken
Cicely Tyson
Claire Trevor
Clark Gable
Claude Rains
Claudette Colbert
Cliff Robertson
Clifton Webb
Clint Eastwood
Clive Owen
Cloris Leachman
Colette Marchand
Colin Firth
Corinne Griffith
Cornel Wilde
Dan Aykroyd
Dan Dailey
Daniel Kaluuya
Danny Aiello
David Niven
David Paymer
David Strathairn
Dean Jagger
Dean Stockwell
Debbie Reynolds
Deborah Kerr
Debra Winger
Denholm Elliott
Dennis Hopper
Denzel Washington
Dev Patel
Dexter Gordon
Diahann Carroll
Diana Ross
Diana Scarwid
Diana Wynyard
Diane Cilento
Diane Keaton
Diane Ladd
Diane Lane
Diane Varsi
Dianne Wiest
Djimon Hounsou
Don Ameche
Don Cheadle
Donald Crisp
Donna Reed
Doris Day
Dorothy Dandridge
Dorothy Malone
Dorothy McGuire
Dudley Moore
Dustin Hoffman
Dyan Cannon
Ed Begley
Ed Harris
Ed Wynn
Eddie Albert
Eddie Murphy
Eddie Redmayne
Edith Evans
Edmund Gwenn
Edna May Oliver
Edward James Olmos
Edward Norton
Eileen Brennan
Eileen Heckart
Eleanor Parker
Elisabeth Bergner
Elisabeth Shue
Elizabeth Hartman
Elizabeth McGovern
Elizabeth Taylor
Ellen Burstyn
Ellen Corby
Ellen Page
Elliott Gould
Elsa Lanchester
Emil Jannings
Emily Watson
Emma Stone
Emma Thompson
